title,age_certification,genre,imdb_rating,imdb_votes
Cobra Kai,TV-14,Action,8.5,"177,031"
The Crown,TV-MA,Biography,8.7,"199,885"
Better Call Saul,TV-MA,Crime,8.9,"501,384"
Breaking Bad,TV-MA,Crime,9.5,"1,831,340"
Stranger Things,TV-14,Drama,8.7,"1,149,889"
The Walking Dead,TV-MA,Drama,8.1,"970,060"
Peaky Blinders,TV-MA,Crime,8.8,"531,058"
Fate: The Winx Saga,TV-MA,Action,6.9,"43,179"
Grey's Anatomy,TV-14,Drama,7.6,"303,617"
Supernatural,TV-14,Drama,8.4,"439,597"
NCIS,TV-14,Action,7.8,"145,895"
Shameless,TV-MA,Comedy,8.6,"239,541"
Ozark,TV-MA,Crime,8.5,"309,552"
The Gray Man,PG-13,Action,6.5,"172,136"
The Witcher,TV-MA,Action,8.2,"481,837"
The Blacklist,TV-14,Crime,8,"245,591"
Seinfeld,TV-PG,Comedy,8.9,"314,089"
Lucifer,TV-14,Crime,8.1,"318,928"
The Umbrella Academy,TV-14,Action,7.9,"243,344"
The Last Kingdom,TV-MA,Action,8.5,"136,936"
Black Mirror,TV-MA,Drama,8.8,"535,782"
Squid Game,TV-MA,Action,8,"435,160"
Gilmore Girls,TV-PG,Comedy,8.2,"124,087"
Outlander,TV-MA,Drama,8.4,"158,268"
Never Have I Ever,TV-14,Comedy,7.9,"56,216"
Attack on Titan,TV-MA,Animation,9,"363,297"
Manifest,TV-14,Drama,7.1,"59,167"
Locke & Key,TV-14,Drama,7.3,"84,847"
Dark,TV-MA,Crime,8.7,"371,981"
Sex Education,TV-MA,Comedy,8.4,"273,671"
The Vampire Diaries,TV-14,Drama,7.7,"318,383"
Virgin River,TV-14,Drama,7.4,"41,276"
Heartbreak High,TV-MA,Drama,7.6,"1,502"
Community,TV-14,Comedy,8.5,"261,138"
Schitt's Creek,TV-14,Comedy,8.5,"118,638"
Sing 2,PG,Animation,7.4,"65,399"
RRR,Not Rated,Action,8,"107,203"
Arcane,TV-14,Animation,9,"196,697"
Riverdale,TV-14,Crime,6.6,"143,861"
The Flash,TV-PG,Action,7.6,"344,187"
You,TV-MA,Crime,7.7,"234,218"
365 Days,TV-MA,Drama,3.3,"89,071"
Titanic,PG-13,Drama,7.9,"1,158,746"
Bridgerton,TV-MA,Drama,7.3,"133,119"
New Girl,TV-14,Comedy,7.7,"221,781"
The Gentlemen,R,Action,7.8,"331,508"
Extraordinary Attorney Woo,TV-14,Drama,8.9,"9,538"
BoJack Horseman,TV-MA,Animation,8.8,"152,649"
"Love, Death & Robots",TV-MA,Animation,8.4,"165,153"
Money Heist,TV-MA,Action,8.2,"469,640"
Orange Is the New Black,TV-MA,Comedy,8.1,"300,354"
Once Upon a Time,TV-PG,Adventure,7.7,"223,549"
The 100,TV-14,Drama,7.6,"248,827"
Demon Slayer: Kimetsu no Yaiba,TV-MA,Animation,8.7,"97,968"
The Queen's Gambit,TV-MA,Drama,8.6,"432,644"
Mindhunter,TV-MA,Crime,8.6,"281,506"
Spiderhead,R,Action,5.4,"52,102"
The Lincoln Lawyer,TV-MA,Crime,7.7,"35,356"
Arrested Development,TV-14,Comedy,8.7,"302,834"
Heartland,TV-PG,Drama,8.4,"16,702"
Inventing Anna,TV-MA,Drama,6.8,"65,185"
It,R,Horror,7.3,"537,240"
Narcos,TV-MA,Biography,8.8,"416,307"
The Sinner,TV-MA,Crime,7.9,"120,241"
The Haunting of Hill House,TV-MA,Drama,8.6,"237,198"
Don't Look Up,R,Comedy,7.2,"525,424"
Shadow and Bone,TV-14,Action,7.6,"82,657"
Sex/Life,TV-MA,Comedy,5.4,"21,107"
Midnight Mass,TV-MA,Drama,7.7,"110,997"
"Roswell, New Mexico",TV-14,Drama,6.2,"12,827"
Taxi Driver,R,Crime,8.2,"819,599"
Vikings: Valhalla,TV-MA,Action,7.2,"37,571"
L??on: The Professional,R,Action,8.5,"1,147,345"
Arrow,TV-14,Action,7.5,"429,943"
The Good Place,TV-PG,Comedy,8.2,"156,760"
Hustle,R,Comedy,7.3,"110,391"
365 Days: This Day,TV-MA,Drama,2.6,"19,357"
Pieces of Her,TV-MA,Crime,6.3,"25,208"
The Departed,R,Crime,8.5,"1,310,171"
Delhi Crime,TV-MA,Crime,8.5,"22,337"
JoJo's Bizarre Adventure,TV-14,Animation,8.4,"22,677"
House of Cards,TV-MA,Drama,8.7,"500,982"
Dynasty,TV-14,Drama,7.2,"22,045"
Gotham,TV-14,Action,7.8,"229,301"
Avatar: The Last Airbender,TV-Y7-FV,Animation,9.3,"309,241"
Persuasion,PG,Drama,5.7,"25,625"
Good Girls,TV-14,Comedy,7.7,"51,835"
How to Get Away with Murder,TV-14,Crime,8.1,"150,319"
Longmire,TV-14,Action,8.3,"35,601"
After Life,TV-MA,Comedy,8.4,"133,432"
Outer Banks,TV-MA,Action,7.6,"48,115"
Derry Girls,TV-MA,Comedy,8.5,"36,522"
El Camino: A Breaking Bad Movie,TV-MA,Action,7.3,"243,473"
Anatomy of a Scandal,TV-MA,Drama,7,"27,590"
The Sea Beast,PG,Animation,7.1,"36,407"
Operation Mincemeat,PG-13,Drama,6.6,"22,162"
Alchemy of Souls,Approved,Action,8.7,"3,769"
13 Reasons Why,TV-MA,Drama,7.5,"289,319"
Maid,TV-MA,Drama,8.4,"81,102"
The King,R,Biography,7.3,"127,673"
The Adam Project,PG-13,Action,6.7,"193,255"
Top Boy,TV-MA,Crime,8.4,"25,235"
Emily in Paris,TV-MA,Comedy,6.9,"88,868"
The Devil All the Time,R,Crime,7.1,"133,166"
Little Women,TV-14,Action,8.6,469
Elite,TV-MA,Crime,7.4,"77,113"
The Guilty,R,Crime,6.3,"121,907"
Naruto,TV-PG,Animation,8.4,"99,442"
Dead to Me,TV-MA,Comedy,8,"76,565"
Designated Survivor,TV-14,Action,7.5,"90,424"
Dracula,TV-14,Action,6.8,"47,794"
Narcos: Mexico,TV-MA,Crime,8.4,"83,199"
Resident Evil,TV-MA,Action,4,"39,033"
Ginny & Georgia,TV-14,Comedy,7.4,"48,057"
Grace and Frankie,TV-MA,Comedy,8.2,"51,896"
The Man from Toronto,PG-13,Action,5.8,"43,867"
The Power of the Dog,R,Drama,6.8,"169,764"
The Haunting of Bly Manor,TV-MA,Drama,7.3,"101,853"
The House,TV-MA,Animation,6.8,"15,290"
Skins,TV-MA,Drama,8.2,"83,918"
Behind Her Eyes,TV-MA,Drama,7.2,"60,901"
Bleach,TV-14,Animation,8.2,"53,769"
Altered Carbon,TV-MA,Action,7.9,"167,469"
Supergirl,TV-PG,Action,6.2,"123,705"
Zero Dark Thirty,R,Drama,7.4,"299,829"
The Irishman,R,Biography,7.8,"382,523"
Big Mouth,TV-MA,Animation,7.9,"77,339"
Chilling Adventures of Sabrina,TV-14,Drama,7.4,"93,761"
Death Note,TV-14,Animation,9,"316,300"
Heartbreak High,TV-MA,Drama,7.8,"3,208"
The End of the F***ing World,TV-MA,Adventure,8.1,"186,272"
Red Notice,PG-13,Action,6.3,"270,232"
Anne with an E,TV-PG,Drama,8.7,"54,248"
Jane the Virgin,TV-PG,Comedy,7.9,"50,019"
Incantation,TV-MA,Horror,6.2,"11,424"
Queen of the South,TV-MA,Action,8,"30,158"
Godless,TV-MA,Action,8.3,"66,821"
Wind River,R,Crime,7.7,"249,800"
The IT Crowd,TV-14,Comedy,8.5,"151,277"
DC's Legends of Tomorrow,TV-14,Action,6.8,"104,446"
Heartstopper,TV-14,Drama,8.7,"49,420"
Unbelievable,TV-MA,Crime,8.4,"100,699"
Enola Holmes,PG-13,Action,6.6,"169,720"
All of Us Are Dead,TV-MA,Action,7.5,"47,580"
Bodyguard,TV-MA,Crime,8.1,"121,426"
Fauda,TV-MA,Action,8.2,"26,699"
Hubie Halloween,PG-13,Comedy,5.2,"49,569"
Borgen,TV-14,Drama,8.5,"26,360"
Marcella,TV-MA,Crime,7.4,"31,515"
Reign,TV-14,Drama,7.4,"49,625"
Amar,Unknown,Drama,5.1,"4,570"
Workin' Moms,TV-MA,Comedy,7.8,"17,710"
The Platform,TV-MA,Horror,7,"219,327"
Interceptor,TV-MA,Action,4.5,"22,251"
iZombie,TV-14,Comedy,7.8,"67,849"
The Ranch,TV-MA,Comedy,7.5,"38,824"
I'm Thinking of Ending Things,R,Drama,6.6,"85,315"
Russian Doll,TV-MA,Comedy,7.8,"94,732"
Lost in Space,TV-PG,Adventure,7.3,"99,084"
The Forgotten Battle,TV-MA,Drama,7.1,"28,608"
6 Underground,R,Action,6.1,"174,852"
The Stranger,TV-MA,Crime,7.3,"50,086"
Public Enemies,R,Action,7,"302,797"
Shameless,TV-MA,Comedy,8,"16,895"
Merl??,TV-MA,Comedy,8.6,"8,555"
Polar,TV-MA,Action,6.3,"89,645"
The Unforgivable,R,Crime,7.1,"107,709"
Vinland Saga,TV-MA,Animation,8.8,"36,550"
