title,type,release_year,age_certification,runtime,genre ,country,imdb_rating,imdb_votes
3%,SHOW,2016,TV-MA,46, scifi ,BR,7.3,25452
7:19,MOVIE,2016,Unknown,94, history ,MX,5.8,649
21,MOVIE,2008,PG-13,123, crime ,US,6.8,249016
42,MOVIE,2013,PG-13,128, drama ,US,7.5,94520
83,MOVIE,2021,Unknown,163, drama ,IN,7.5,35093
122,MOVIE,2019,R,95, horror ,EG,6,5563
1922,MOVIE,2017,Unknown,101, horror ,US,6.2,62508
1983,SHOW,2018,TV-MA,57, drama ,PL,6.7,4169
1994,SHOW,2019,TV-MA,178, documentation ,MX,7.6,524
2020,SHOW,2021,TV-14,45, drama ,LB,7.9,371
 ABtalks,SHOW,2018,TV-PG,68,Unknown,Unknown,9.6,7
 Alive,MOVIE,2020,Unknown,98, horror ,KR,6.3,38313
 AnneFrank. Parallel Stories,MOVIE,2019,Unknown,92, drama ,IT,6.5,1548
 blackAF,SHOW,2020,TV-MA,37, comedy  ,US,Unknown,Unknown
 FriendButMarried,MOVIE,2018,Unknown,102, romance ,ID,6.8,714
 FriendButMarried 2,MOVIE,2020,Unknown,104, drama ,ID,6.9,311
 realityhigh,MOVIE,2017,Unknown,99, comedy ,US,5.1,6357
 Rucker50,MOVIE,2016,Unknown,56, documentation  ,US,5.2,120
(Un)Well,SHOW,2020,TV-MA,52, documentation ,US,6.4,1068
"10,000 BC",MOVIE,2008,PG-13,109, action ,US,5.1,130813
100 d??as con la Tata,MOVIE,2021,Unknown,82, documentation ,Unknown,7.9,299
100 Days My Prince,SHOW,2018,TV-14,75, drama ,KR,7.7,2068
100 Humans: Life's Questions. Answered.,SHOW,2020,TV-14,37, documentation ,US,5.7,4055
100 Meters,MOVIE,2016,Unknown,108, drama ,ES,7.5,6248
100 Things to Do Before High School,MOVIE,2014,Unknown,44,Unknown,US,Unknown,Unknown
100% Halal,MOVIE,2020,Unknown,100, drama  ,ID,Unknown,Unknown
1000 Miles from Christmas,MOVIE,2021,Unknown,102, comedy ,ES,5.7,1502
